title,author,book_format,old_price,curr_price,pages,publisher,publication_date,Language,ISBN-10,ISBN-13,Product Dimensions,Shipping Weight,Amazon Best Sellers Rank,ASIN,link
The Right Side of History: How Reason and Moral Purpose Made the West Great,Ben Shapiro,Hardcover,$27.99,$16.79,288,Broadside Books,"March 19, 2019",English,0062857908,978-0062857903,6 x 1 x 9 inches,15.2 ounces (View shipping rates and policies),#3 in Books (See Top 100 in Books),N/A,https://www.amazon.com/Right-Side-History-Reason-Purpose/dp/0062857908/
The Case for Trump,Victor Davis Hanson,Hardcover,$30.00,$17.99,400,Basic Books,"March 5, 2019",English,1541673549,978-1541673540,6.6 x 1.6 x 9.7 inches,1.4 pounds (View shipping rates and policies),#58 in Books (See Top 100 in Books),N/A,https://www.amazon.com/Case-Trump-Victor-Davis-Hanson/dp/1541673549/
Shortest Way Home: One Mayor's Challenge and a Model for America's Future,Pete Buttigieg,Hardcover,$27.95,$16.77,352,Liveright; 1 edition,"February 12, 2019",English,1631494368,978-1631494369,6.4 x 1.3 x 9.6 inches,1.4 pounds (View shipping rates and policies),#20 in Books (See Top 100 in Books),N/A,https://www.amazon.com/Shortest-Way-Home-Challenge-Americas/dp/1631494368/
Extreme Ownership: How U.S. Navy SEALs Lead and Win (New Edition),Jocko Willink and Leif Babin,Hardcover,$27.99,$14.95,384,St. Martin's Press; 1 edition,"November 21, 2017",English,9781250183866,978-1250183866,5.5 x 1.2 x 8.2 inches,1.1 pounds (View shipping rates and policies),#84 in Books (See Top 100 in Books),1250183863,https://www.amazon.com/Extreme-Ownership-U-S-Navy-SEALs/dp/1250183863/
Sapiens: A Brief History of Humankind,Yuval Noah Harari,Paperback,$22.99,$14.76,464,Harper Perennial; Reprint edition,"May 15, 2018",English,9780062316110,978-0062316110,6 x 1.1 x 9 inches,2.2 pounds (View shipping rates and policies),#96 in Books (See Top 100 in Books),0062316117,https://www.amazon.com/Sapiens-Humankind-Yuval-Noah-Harari/dp/0062316117/
Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,Hardcover,$28.95,$18.59,464,Doubleday; First Edition edition,"February 26, 2019",English,0385521316,978-0385521314,6.5 x 1.4 x 9.4 inches,1.7 pounds (View shipping rates and policies),#203 in Books (See Top 100 in Books),N/A,https://www.amazon.com/Say-Nothing-Murder-Northern-Ireland/dp/0385521316/
The Matriarch: Barbara Bush and the Making of an American Dynasty,Susan Page,Hardcover,$32.50,$19.50,432,Twelve,"April 2, 2019",English,1538713640,978-1538713648,6.4 x 1.5 x 9.2 inches,1.5 pounds (View shipping rates and policies),#46 in Books (See Top 100 in Books),N/A,https://www.amazon.com/Matriarch-Barbara-Making-American-Dynasty/dp/1538713640/
Inside the Empire: The True Power Behind the New York Yankees,Bob Klapisch and Paul Solotaroff,Hardcover,$28.00,$16.80,256,Houghton Mifflin Harcourt,"March 26, 2019",English,1328589358,978-1328589354,9 x 6 x 9 inches,15.8 ounces (View shipping rates and policies),#183 in Books (See Top 100 in Books),N/A,https://www.amazon.com/Inside-Empire-Power-Behind-Yankees/dp/1328589358/
"Ladies Who Punch: The Explosive Inside Story of ""The View""",Ramin Setoodeh,Hardcover,$28.99,$17.39,336,Thomas Dunne Books,"April 2, 2019",English,1250112095,978-1250112095,6.4 x 1.3 x 9.6 inches,1.2 pounds (View shipping rates and policies),#52 in Books (See Top 100 in Books),N/A,https://www.amazon.com/Ladies-Who-Punch-Explosive-Inside/dp/1250112095/
The Threat: How the FBI Protects America in the Age of Terror and Trump,Andrew G. McCabe,Hardcover,$29.99,$14.75,288,St. Martin's Press; 2nd edition,"February 19, 2019",English,1250207576,978-1250207579,6.6 x 1.1 x 9.4 inches,1 pounds (View shipping rates and policies),#588 in Books (See Top 100 in Books),N/A,https://www.amazon.com/Threat-Protects-America-Terror-Trump/dp/1250207576/
DARK AGENDA: The War to Destroy Christian America,David Horowitz,Hardcover,$26.99,$16.19,224,Humanix Books,"March 5, 2019",English,163006114X,978-1630061142,6.5 x 0.8 x 9.5 inches,14.4 ounces (View shipping rates and policies),#85 in Books (See Top 100 in Books),N/A,https://www.amazon.com/DARK-AGENDA-Destroy-Christian-America/dp/163006114X/
Man's Search for Meaning,Viktor E. Frankl and William J. Winslade,Paperback,$10.99,$6.59,184,Beacon Press; 1 edition,"June 1, 2006",English,9780807014295,978-0807014295,4.2 x 0.5 x 6.7 inches,3.2 ounces (View shipping rates and policies),#76 in Books (See Top 100 in Books),080701429X,https://www.amazon.com/Mans-Search-Meaning-Viktor-Frankl/dp/080701429X/
"Cracking the AP World History Exam 2019, Premium Edition: 5 Practice Tests + Complete Content Review (College Test Preparation)",The Princeton Review ,Paperback,$25.99,$17.20,560,Princeton Review; Premium edition,"August 7, 2018",English,1524758175,978-1524758172,8.4 x 1.3 x 10.8 inches,2 pounds (View shipping rates and policies),#297 in Books (See Top 100 in Books),N/A,https://www.amazon.com/Cracking-World-History-Exam-Premium/dp/1524758175/
The Pioneers: The Heroic Story of the Settlers Who Brought the American Ideal West,David McCullough ,Hardcover,$30.00,$19.49,352,Simon & Schuster,"May 7, 2019",English,1501168681,978-1501168680,9.2 x 6.2 x 9.2 inches,1.7 pounds (View shipping rates and policies),#507 in Books (See Top 100 in Books),N/A,https://www.amazon.com/Pioneers-Heroic-Settlers-Brought-American/dp/1501168681/
Astrophysics for People in a Hurry,Neil deGrasse Tyson ,Hardcover,$18.95,$13.26,224,W. W. Norton & Company; 1 edition,"May 2, 2017",English,9780393609394,978-0393609394,7.3 x 4.8 x 0.9 inches,8.8 ounces (View shipping rates and policies),#280 in Books (See Top 100 in Books),0393609391,https://www.amazon.com/Astrophysics-People-Hurry-deGrasse-Tyson/dp/0393609391/
The Library Book,Susan Orlean ,Hardcover,$28.00,$19.60,336,Simon & Schuster; First Edition edition,"October 16, 2018",English,9781476740188,978-1476740188,6.2 x 1.1 x 9.2 inches,1.4 pounds (View shipping rates and policies),#366 in Books (See Top 100 in Books),1476740186,https://www.amazon.com/Library-Book-Susan-Orlean/dp/1476740186/
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance ,Paperback,$16.99,$13.49,288,Harper Paperbacks; Reprint edition,"May 1, 2018",English,9780062300553,978-0062300553,5.3 x 0.7 x 8 inches,9.6 ounces (View shipping rates and policies),#539 in Books (See Top 100 in Books),0062300555,https://www.amazon.com/Hillbilly-Elegy-Memoir-Family-Culture/dp/0062300555/
21 Lessons for the 21st Century,Yuval Noah Harari ,Hardcover,$28.00,$16.69,400,Spiegel & Grau; 1st Edition edition,"September 4, 2018",English,9780525512172,978-0525512172,6.4 x 1.2 x 9.5 inches,1.2 pounds (View shipping rates and policies),#387 in Books (See Top 100 in Books),0525512179,https://www.amazon.com/Lessons-21st-Century-Yuval-Harari/dp/0525512179/
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann ,Paperback,$16.95,$12.71,400,Vintage; Reprint edition,"April 3, 2018",English,0307742482,978-0307742483,5.2 x 0.8 x 8 inches,12.8 ounces (View shipping rates and policies),#442 in Books (See Top 100 in Books),N/A,https://www.amazon.com/Killers-Flower-Moon-Osage-Murders/dp/0307742482/
Come as You Are: The Surprising New Science that Will Transform Your Sex Life,Emily Nagoski Ph.D. ,Paperback,$17.99,$11.55,416,Simon & Schuster; 1 edition,"March 3, 2015",English,1476762090,978-1476762098,6 x 1.1 x 9 inches,13.6 ounces (View shipping rates and policies),#491 in Books (See Top 100 in Books),N/A,https://www.amazon.com/Come-You-Are-Surprising-Transform/dp/1476762090/
"Dissolving Illusions: Disease, Vaccines, and The Forgotten History",Suzanne Humphries MD and Roman Bystrianyk ,Paperback,$24.00,$22.80,504,CreateSpace Independent Publishing Platform; 6/27/13 edition,"July 27, 2013",English,1480216895,978-1480216891,6 x 1.2 x 9 inches,2 pounds (View shipping rates and policies),"#1,368 in Books (See Top 100 in Books)",N/A,https://www.amazon.com/Dissolving-Illusions-Disease-Vaccines-Forgotten/dp/1480216895/
Ten Caesars: Roman Emperors from Augustus to Constantine,Barry Strauss ,Hardcover,$28.00,$16.80,432,Simon & Schuster,"March 5, 2019",English,145166883X,978-1451668834,6 x 1.3 x 9 inches,1.3 pounds (View shipping rates and policies),#798 in Books (See Top 100 in Books),N/A,https://www.amazon.com/Ten-Caesars-Emperors-Augustus-Constantine/dp/145166883X/
Infinite Powers: How Calculus Reveals the Secrets of the Universe,Steven Strogatz ,Hardcover,$28.00,$18.30,384,Houghton Mifflin Harcourt,"April 2, 2019",English,1328879984,978-1328879981,9 x 6 x 9 inches,1.3 pounds (View shipping rates and policies),#119 in Books (See Top 100 in Books),N/A,https://www.amazon.com/Infinite-Powers-Calculus-Reveals-Universe/dp/1328879984/
"Five Presidents: My Extraordinary Journey with Eisenhower, Kennedy, Johnson, Nixon, and Ford",Clint Hill and Lisa McCubbin ,Paperback,$18.00,$16.20,464,Gallery Books; Reprint edition,"May 2, 2017",English,1476794146,978-1476794143,6 x 1.1 x 9 inches,1.2 pounds (View shipping rates and policies),#592 in Books (See Top 100 in Books),N/A,https://www.amazon.com/Five-Presidents-Extraordinary-Journey-Eisenhower/dp/1476794146/
The Back Channel: A Memoir of American Diplomacy and the Case for Its Renewal,William J. Burns ,Hardcover,$32.00,$20.69,512,Random House,"March 12, 2019",English,0525508864,978-0525508861,6.4 x 1.5 x 9.6 inches,1.7 pounds (View shipping rates and policies),#989 in Books (See Top 100 in Books),N/A,https://www.amazon.com/Back-Channel-American-Diplomacy-Renewal/dp/0525508864/
How to Hide an Empire: A History of the Greater United States,Daniel Immerwahr ,Hardcover,$30.00,$19.49,528,"Farrar, Straus and Giroux; First Edition edition","February 19, 2019",English,0374172145,978-0374172145,6.4 x 1.7 x 9.4 inches,1.8 pounds (View shipping rates and policies),#733 in Books (See Top 100 in Books),N/A,https://www.amazon.com/How-Hide-Empire-History-Greater/dp/0374172145/
"Billion Dollar Whale: The Man Who Fooled Wall Street, Hollywood, and the World",Tom Wright and Bradley Hope ,Hardcover,$28.00,$18.30,400,Hachette Books,"September 18, 2018",English,031643650X,978-0316436502,6.4 x 1.6 x 9.3 inches,1.4 pounds (View shipping rates and policies),"#1,103 in Books (See Top 100 in Books)",N/A,https://www.amazon.com/Billion-Dollar-Whale-Fooled-Hollywood/dp/031643650X/
Leadership: In Turbulent Times,Doris Kearns Goodwin ,Hardcover,$30.00,$17.95,496,Simon & Schuster; First Edition/First Printing edition,"September 18, 2018",English,1476795924,978-1476795928,6.1 x 1.3 x 9.2 inches,3.2 pounds (View shipping rates and policies),"#1,102 in Books (See Top 100 in Books)",N/A,https://www.amazon.com/Leadership-Turbulent-Doris-Kearns-Goodwin/dp/1476795924/
The Theft of America’s Soul: Blowing the Lid Off the Lies That Are Destroying Our Country,Phil Robertson ,Hardcover,$24.99,$12.77,224,Thomas Nelson,"February 5, 2019",English,1400210046,978-1400210046,6.2 x 0.8 x 9.3 inches,12.8 ounces (View shipping rates and policies),#569 in Books (See Top 100 in Books),N/A,https://www.amazon.com/Theft-Americas-Soul-Blowing-Destroying/dp/1400210046/
The Mueller Report,The Washington Post ,Paperback,$15.00,$10.50,720,Scribner,"April 30, 2019",English,1982129735,978-1982129736,6 x 9 inches,1.1 pounds (View shipping rates and policies),#481 in Books (See Top 100 in Books),N/A,https://www.amazon.com/Mueller-Report-Washington-Post/dp/1982129735/
The Chief: The Life and Turbulent Times of Chief Justice John Roberts,Joan Biskupic ,Hardcover,$32.00,$20.69,432,Basic Books,"March 26, 2019",English,0465093272,978-0465093274,6.4 x 1.5 x 9.6 inches,1.4 pounds (View shipping rates and policies),"#1,118 in Books (See Top 100 in Books)",N/A,https://www.amazon.com/Chief-Turbulent-Times-Justice-Roberts/dp/0465093272/
Churchill: Walking with Destiny,Andrew Roberts ,Hardcover,$40.00,$25.47,1152,Viking,"November 6, 2018",English,1101980990,978-1101980996,6.4 x 2.2 x 9.6 inches,3.5 pounds (View shipping rates and policies),"#1,678 in Books (See Top 100 in Books)",N/A,https://www.amazon.com/Churchill-Walking-Destiny-Andrew-Roberts/dp/1101980990/
"Red Notice: A True Story of High Finance, Murder, and One Man's Fight for Justice",Bill Browder ,Paperback,$17.00,$10.91,416,Simon & Schuster; Reprint edition,"October 20, 2015",English,1476755744,978-1476755748,5.5 x 1 x 8.4 inches,12 ounces (View shipping rates and policies),#792 in Books (See Top 100 in Books),N/A,https://www.amazon.com/Red-Notice-Finance-Murder-Justice/dp/1476755744/
Spies of No Country: Secret Lives at the Birth of Israel,Matti Friedman ,Hardcover,$26.95,$17.67,272,Algonquin Books,"March 5, 2019",English,1616207221,978-1616207229,5.8 x 1.1 x 8.3 inches,12.5 ounces (View shipping rates and policies),"#1,076 in Books (See Top 100 in Books)",N/A,https://www.amazon.com/Spies-No-Country-Secret-Israel/dp/1616207221/
Licensed to Lie,Sidney Powell ,Paperback,$19.95,$13.36,464,"Sidney Powell; Second Edition,New edition edition","October 23, 2018",English,1732767602,978-1732767607,6 x 1.2 x 8.9 inches,1.4 pounds (View shipping rates and policies),"#1,717 in Books (See Top 100 in Books)",N/A,https://www.amazon.com/Licensed-Lie-Sidney-Powell/dp/1732767602/
